| case          | MNB   | MNS  | MML  | page | K    | p_blk             | rate | req/s | out_tok/s | ttft_mean | ttft_p99  | itl_mean | itl_p99 | dur_s | id           |
|:--------------|:------|:-----|:-----|:-----|:-----|:------------------|:-----|:------|:----------|:----------|:----------|:---------|:--------|:------|:-------------|
| prefill_heavy | 8192  | 128  | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 4.79  | 4.79      | 107809.92 | 207239.92 | 0.00     | 0.00    | 224   | 4f773da3397a |
| prefill_heavy | 8192  | 1000 | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 4.78  | 4.78      | 108001.72 | 207610.39 | 0.00     | 0.00    | 224   | 79f4eebdaaa0 |
| prefill_heavy | 8192  | 128  | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 4.78  | 4.78      | 105711.68 | 207738.85 | 0.00     | 0.00    | 224   | 95daf7983c7b |
| prefill_heavy | 8192  | 1000 | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 4.77  | 4.77      | 105937.12 | 208125.94 | 0.00     | 0.00    | 225   | 0c6603e8d0db |
| prefill_heavy | 2048  | 128  | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 4.75  | 4.75      | 106259.65 | 208639.28 | 0.00     | 0.00    | 225   | f64ce590a23a |
| prefill_heavy | 8192  | 128  | 8192 | 128  | 2048 | 256,2048,256,512  | inf  | 4.74  | 4.74      | 106244.96 | 209153.95 | 0.00     | 0.00    | 226   | f6d4d08d53b7 |
| prefill_heavy | 8192  | 1000 | 8192 | 128  | 2048 | 256,2048,256,512  | inf  | 4.73  | 4.73      | 106464.72 | 209442.38 | 0.00     | 0.00    | 227   | 160751aa86d9 |
| prefill_heavy | 2048  | 128  | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 4.73  | 4.73      | 106295.45 | 209433.42 | 0.00     | 0.00    | 226   | 906f8b277739 |
| prefill_heavy | 8192  | 1000 | 8192 | 128  | 512  | 256,1024,256,1024 | inf  | 4.72  | 4.72      | 107727.80 | 210453.64 | 0.00     | 0.00    | 227   | 1711a334bd66 |
| prefill_heavy | 8192  | 128  | 8192 | 128  | 512  | 256,1024,256,1024 | inf  | 4.72  | 4.72      | 107588.52 | 210474.03 | 0.00     | 0.00    | 227   | 66f5ba2eb41a |
| prefill_heavy | 2048  | 1000 | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 4.72  | 4.72      | 107086.87 | 210182.54 | 0.00     | 0.00    | 227   | 8975b2f8d005 |
| prefill_heavy | 4096  | 128  | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 4.71  | 4.71      | 108020.85 | 210869.52 | 0.00     | 0.00    | 227   | 6f5c6661f0cc |
| prefill_heavy | 2048  | 1000 | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 4.70  | 4.70      | 106857.02 | 210719.80 | 0.00     | 0.00    | 228   | 47f3d2301bd9 |
| prefill_heavy | 4096  | 1000 | 8192 | 128  | 256  | 256,2048,256,512  | inf  | 4.70  | 4.70      | 108218.65 | 211223.87 | 0.00     | 0.00    | 228   | 5223313968b6 |
| prefill_heavy | 2048  | 128  | 8192 | 128  | 2048 | 256,2048,256,512  | inf  | 4.69  | 4.69      | 106834.33 | 210751.73 | 0.00     | 0.00    | 228   | 54ccc1eb587a |
| prefill_heavy | 4096  | 128  | 8192 | 128  | 1024 | 256,1024,256,512  | inf  | 4.69  | 4.69      | 107280.52 | 211258.91 | 0.00     | 0.00    | 228   | 6c43df8800c5 |
