variant	mml	mnb	mns	engaged	status	out_tok_s	total_tok_s	median_tpot_ms	median_ttft_ms
v2	9216	1024	64	yes	ok	1561.06	3109.10	35.17	1508.32
v2	9216	1024	64	n/a	died	-	-	-	-
v2	9216	1024	128	n/a	died	-	-	-	-
v2	9216	1024	256	n/a	died	-	-	-	-
v2	9216	256	64	yes	ok	1384.98	2758.41	35.24	1492.05
v2	9216	256	128	yes	ok	2431.51	4842.75	43.31	1285.40
v2	9216	256	256	yes	ok	1804.36	3593.68	85.79	18091.87
v2	9216	512	64	yes	ok	1563.95	3114.86	35.22	1416.41
v2	9216	512	128	yes	ok	2460.25	4899.98	43.09	1180.13
v2	9216	512	256	yes	ok	1629.22	3244.85	96.90	20031.67
v2	9216	1024	64	yes	ok	1564.35	3115.65	35.11	1506.80
v2	9216	1024	128	yes	ok	2456.38	4892.27	43.09	1281.09
v2	9216	1024	256	yes	ok	1451.30	2890.50	108.23	23536.44
v2	9216	256	64	yes	ok	3811.97	7657.36	103.27	3161.10
v2	9216	256	128	yes	ok	5607.35	11197.69	151.15	6944.69
v2	9216	512	64	yes	ok	3555.74	7142.66	114.32	3060.71
v2	9216	512	128	yes	ok	4770.12	9525.77	194.41	3751.31
v2	9216	1024	64	yes	ok	3277.83	6584.39	126.44	3332.02
v2	9216	1024	128	yes	ok	4201.52	8390.30	224.23	4121.18
