Timestamp,Prompt Throughput (tok/s),Generation Throughput (tok/s),Running Reqs,Waiting Reqs,KV Cache Usage (%),Prefix Cache Hit Rate (%)
09-03 15:06:43,0.0,0.0,0,0,0.0,0.0
09-03 15:06:53,0.0,0.0,0,0,0.0,0.0
09-03 15:07:03,0.0,0.0,0,0,0.0,0.0
09-03 15:07:13,0.0,0.0,0,0,0.0,0.0
09-03 15:07:23,0.0,0.0,0,0,0.0,0.0
09-03 15:07:33,0.0,0.0,0,0,0.0,0.0
09-03 15:07:43,0.0,0.0,0,0,0.0,0.0
09-03 15:07:53,0.0,0.0,0,0,0.0,0.0
09-03 15:08:03,0.0,0.0,0,0,0.0,0.0
09-03 15:08:13,0.0,0.0,0,0,0.0,0.0
09-03 15:08:23,0.0,0.0,0,0,0.0,0.0
09-03 15:08:33,0.0,0.0,0,0,0.0,0.0
09-03 15:08:43,0.0,0.0,0,0,0.0,0.0
09-03 15:08:53,0.0,0.0,0,0,0.0,0.0
09-03 15:09:03,0.0,0.0,0,0,0.0,0.0
09-03 15:09:13,0.0,0.0,0,0,0.0,0.0
09-03 15:09:23,0.0,0.0,0,0,0.0,0.0
09-03 15:09:33,0.0,0.0,0,0,0.0,0.0
09-03 15:09:43,0.0,0.0,0,0,0.0,0.0
09-03 15:09:53,0.0,0.0,0,0,0.0,0.0
09-03 15:10:03,0.0,0.0,0,0,0.0,0.0
09-03 15:10:13,0.0,0.0,0,0,0.0,0.0
09-03 15:10:23,0.0,0.0,0,0,0.0,0.0
09-03 15:10:33,0.0,0.0,0,0,0.0,0.0
09-03 15:10:43,0.0,0.0,0,0,0.0,0.0
09-03 15:10:53,0.0,0.0,0,0,0.0,0.0
09-03 15:11:03,0.0,0.0,0,0,0.0,0.0
09-03 15:11:13,0.0,0.0,0,0,0.0,0.0
09-03 15:11:23,0.0,0.0,0,0,0.0,0.0
09-03 15:11:33,0.0,0.0,0,0,0.0,0.0
09-03 15:11:43,0.0,0.0,0,0,0.0,0.0
09-03 15:11:53,0.0,0.0,0,0,0.0,0.0
09-03 15:12:03,0.0,0.0,0,0,0.0,0.0
09-03 15:12:13,0.0,0.0,0,0,0.0,0.0
09-03 15:12:23,0.0,0.0,0,0,0.0,0.0
09-03 15:12:33,0.0,0.0,0,0,0.0,0.0
09-03 15:12:43,0.0,0.0,0,0,0.0,0.0
09-03 15:12:53,0.0,0.0,0,0,0.0,0.0
09-03 15:13:03,0.0,0.0,0,0,0.0,0.0
09-03 15:13:13,0.0,0.0,0,0,0.0,0.0
09-03 15:13:23,0.0,0.0,0,0,0.0,0.0
09-03 15:13:33,21.300171777398766,3.6000290327997915,1,0,0.010028078620136216,0.0
09-03 15:13:43,0.0,34.60007095525622,1,0,0.015042117930204324,0.0
09-03 15:13:53,0.0,34.49967635442508,1,0,0.017549137585239072,0.0
09-03 15:14:03,0.0,34.5979949153319,1,0,0.02256317689530718,0.0
09-03 15:14:13,0.0,34.49926334395037,1,0,0.02507019655034054,0.0
09-03 15:14:23,0.0,34.599289551548495,1,0,0.027577216205375288,0.0
09-03 15:14:33,0.0,34.49864175684624,1,0,0.032591255515443396,0.0
09-03 15:14:43,0.0,34.59589716600078,1,0,0.035098275170476756,0.0
09-03 15:14:53,0.0,34.49696533628013,1,0,0.037605294825511504,0.0
09-03 15:15:03,0.0,34.596230986207935,1,0,0.04261933413557961,0.0
09-03 15:15:13,39.59866487958919,33.09888402814146,1,0,0.015042117930204324,0.0
09-03 15:15:23,0.0,34.499715529003744,1,0,0.017549137585239072,0.0
09-03 15:15:33,0.0,34.59797241449108,1,0,0.02256317689530718,0.0
09-03 15:15:43,0.0,34.49920998858273,1,0,0.02507019655034054,0.0
09-03 15:15:53,0.0,34.59670667615291,1,0,0.027577216205375288,0.0
09-03 15:16:03,0.0,34.59761364707277,1,0,0.032591255515443396,0.0
09-03 15:16:13,0.0,34.4973628665649,1,0,0.035098275170476756,0.0
09-03 15:16:23,0.0,34.5013888187968,1,0,0.037605294825511504,0.0
09-03 15:16:33,0.0,34.59780688027961,1,0,0.04261933413557961,0.0
09-03 15:16:43,0.0,34.4984081630525,1,0,0.04512635379061436,0.0
09-03 15:16:53,0.0,34.598756238145775,1,0,0.04763337344564772,0.0
09-03 15:17:03,0.0,34.499386813912864,1,0,0.05264741275571583,0.0
09-03 15:17:13,0.0,34.59816604801575,1,0,0.055154432410750576,0.0
09-03 15:17:23,0.0,34.50025721081439,1,0,0.057661452065783936,0.0
09-03 15:17:33,0.0,34.49794930740295,1,0,0.06267549137585204,0.0
09-03 15:17:43,0.0,33.09837866800652,1,0,0.017549137585239072,0.0
09-03 15:17:53,88.78775064115337,34.49524095855621,1,0,0.020056157240272432,0.0
09-03 15:18:03,0.0,34.596451032781935,1,0,0.02507019655034054,0.0
09-03 15:18:13,0.0,34.497937507229956,1,0,0.027577216205375288,0.0
09-03 15:18:23,0.0,34.59730057319829,1,0,0.030084235860408648,0.0
09-03 15:18:33,0.0,34.49750530936952,1,0,0.035098275170476756,0.0
09-03 15:18:43,0.0,34.59805821813365,1,0,0.037605294825511504,0.0
09-03 15:18:53,0.0,34.49844727370845,1,0,0.040112314480544864,0.0
09-03 15:19:03,21.298748868739736,34.19799114135676,1,0,0.012535098275170964,0.0
09-03 15:19:13,0.0,34.49900103626715,1,0,0.015042117930204324,0.0
09-03 15:19:23,0.0,34.59590702091452,1,0,0.017549137585239072,0.0
09-03 15:19:33,0.0,34.49767855763046,1,0,0.02256317689530718,0.0
09-03 15:19:43,0.0,34.60088286657646,1,0,0.02507019655034054,0.0
09-03 15:19:53,0.0,34.494846379308086,1,0,0.027577216205375288,0.0
09-03 15:20:03,0.0,34.59736556011617,1,0,0.032591255515443396,0.0
09-03 15:20:13,0.0,34.49840953972295,1,0,0.035098275170476756,0.0
09-03 15:20:23,0.0,34.597145961021404,1,0,0.037605294825511504,0.0
09-03 15:20:33,0.0,34.49720124123379,1,0,0.04261933413557961,0.0
09-03 15:20:43,39.595769937398536,33.89637881004572,1,0,0.015042117930204324,0.0
09-03 15:20:53,0.0,34.4968375468092,1,0,0.017549137585239072,0.0
09-03 15:21:03,0.0,34.59805098149075,1,0,0.02256317689530718,0.0
09-03 15:21:13,0.0,34.49972814489171,1,0,0.02507019655034054,0.0
09-03 15:21:23,0.0,34.5950732954156,1,0,0.030084235860408648,0.0
09-03 15:21:33,0.0,34.49826924519973,1,0,0.032591255515443396,0.0
09-03 15:21:43,0.0,34.59388056736671,1,0,0.035098275170476756,0.0
09-03 15:21:53,0.0,34.49292287049961,1,0,0.040112314480544864,0.0
09-03 15:22:03,0.0,34.59645663373454,1,0,0.04261933413557961,0.0
09-03 15:22:13,0.0,34.493747842940614,1,0,0.04512635379061436,0.0
09-03 15:22:23,0.0,34.59922788435698,1,0,0.05014039310068247,0.0
09-03 15:22:33,0.0,34.49762726324194,1,0,0.05264741275571583,0.0
09-03 15:22:43,0.0,34.59781013768919,1,0,0.055154432410750576,0.0
09-03 15:22:53,0.0,34.4984481363382,1,0,0.060168471720818684,0.0
09-03 15:23:03,0.0,34.49820919115224,1,0,0.06267549137585204,0.0
09-03 15:23:13,88.79762484909516,33.09911466784966,1,0,0.017549137585239072,0.0
09-03 15:23:23,0.0,34.49742789877635,1,0,0.02256317689530718,0.0
09-03 15:23:33,0.0,34.60062668294405,1,0,0.02507019655034054,0.0
09-03 15:23:43,0.0,34.597187182960276,1,0,0.027577216205375288,0.0
09-03 15:23:53,0.0,34.497134110489,1,0,0.032591255515443396,0.0
09-03 15:24:03,0.0,34.59702577697263,1,0,0.035098275170476756,0.0
09-03 15:24:13,0.0,34.397265333314515,1,0,0.037605294825511504,0.0
09-03 15:24:23,0.0,34.49942921524856,1,0,0.04261933413557961,0.0
09-03 15:24:33,3565.631319722381,126.58336139672286,66,444,0.9752306458082629,0.0
09-03 15:24:43,12464.427507837125,2353.348552066547,267,243,4.181708784596873,0.0
09-03 15:24:53,9418.494227251958,4826.393558783887,427,83,7.00962695547533,0.0
09-03 15:25:03,5246.5212682823785,6988.399110115919,502,10,8.784596871239472,0.0
09-03 15:25:13,0.0,10939.942947647995,502,10,9.872643401524266,0.0
09-03 15:25:23,0.0,10889.515645964108,502,10,10.943140794223826,0.0
09-03 15:25:33,0.0,10936.794818787419,502,10,12.02868030485359,0.0
09-03 15:25:43,0.0,10890.392906599724,502,10,13.09416365824308,0.0
09-03 15:25:53,0.0,10893.435308695309,502,10,14.149618933012437,0.0
09-03 15:26:03,67.86314113170515,10584.751047942907,501,10,15.137384677095866,0.0
09-03 15:26:13,603.3103364075657,9161.601298064525,505,6,15.94464500601685,0.0
09-03 15:26:23,1178.378721872186,8562.338907638294,506,3,16.498696349779383,0.0
09-03 15:26:33,587.4130249166399,9434.584698252831,504,1,17.1179302045728,0.0
09-03 15:26:43,728.4854623320554,9881.88980109771,501,5,17.72212194143602,0.0
09-03 15:26:53,897.1619201604453,8936.132574121784,505,6,18.419073405535503,0.0
09-03 15:27:03,1198.990869325744,8984.083672232857,508,3,18.92047733654232,0.0
09-03 15:27:13,695.7346756167718,9646.821102068472,502,3,19.37926193341356,0.0
09-03 15:27:23,985.0246500526523,8322.37359615682,505,1,19.79542719614922,0.0
09-03 15:27:33,406.31631437624907,9929.910931216258,503,2,20.477336542318493,0.0
09-03 15:27:43,906.1734910650424,8328.418211956461,500,5,20.74057360609707,0.0
09-03 15:27:53,1405.2527115596315,7722.042093222148,506,6,21.02135980746089,0.0
09-03 15:28:03,715.6640814303892,9183.772570589048,505,3,21.55284797432812,0.0
09-03 15:28:13,1115.0387819684445,8629.808576308385,505,1,21.705776173285198,0.0
